batchSize,dbms,elementProcessed,executionMode,inputMode,name,outputMode,timeWithConnection,timeWithOutConnection
100,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,NO_OUTPUT,0.0,19.290685653686523
100,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CONSOLE,0.0,19.852638244628906
100,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,MYSQL,93.8265323638916,73.90809059143066
100,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,SQLSERVER,33.45322608947754,33.45322608947754
100,SKLEARN,303,BATCH_MODE,MYSQL,HEART_DISEASE,MYSQL,207.20148086547852,167.36459732055664
100,SKLEARN,303,BATCH_MODE,SQLSERVER,HEART_DISEASE,SQLSERVER,105.99780082702637,105.99780082702637
100,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CSV,0.0,26.45397186279297
1000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,NO_OUTPUT,0.0,6.57343864440918
1000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CONSOLE,0.0,6.702423095703125
1000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,MYSQL,52.27327346801758,32.35483169555664
1000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,SQLSERVER,27.048826217651367,27.048826217651367
1000,SKLEARN,303,BATCH_MODE,MYSQL,HEART_DISEASE,MYSQL,99.05457496643066,59.21769142150879
1000,SKLEARN,303,BATCH_MODE,SQLSERVER,HEART_DISEASE,SQLSERVER,30.62748908996582,30.62748908996582
1000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CSV,0.0,8.02159309387207
10000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,NO_OUTPUT,0.0,6.3724517822265625
10000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CONSOLE,0.0,6.565093994140625
10000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,MYSQL,68.5572624206543,48.63882064819336
10000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,SQLSERVER,13.230562210083008,13.230562210083008
10000,SKLEARN,303,BATCH_MODE,MYSQL,HEART_DISEASE,MYSQL,100.33011436462402,60.49323081970215
10000,SKLEARN,303,BATCH_MODE,SQLSERVER,HEART_DISEASE,SQLSERVER,25.585174560546875,25.585174560546875
10000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CSV,0.0,7.534027099609375
100000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,NO_OUTPUT,0.0,6.864309310913086
100000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CONSOLE,0.0,7.351875305175781
100000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,MYSQL,60.39738655090332,40.47894477844238
100000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,SQLSERVER,9.2315673828125,9.2315673828125
100000,SKLEARN,303,BATCH_MODE,MYSQL,HEART_DISEASE,MYSQL,94.88224983215332,55.045366287231445
100000,SKLEARN,303,BATCH_MODE,SQLSERVER,HEART_DISEASE,SQLSERVER,24.91450309753418,24.91450309753418
100000,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CSV,0.0,8.214712142944336
ALL,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,NO_OUTPUT,0.0,6.659507751464844
ALL,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CONSOLE,0.0,6.76274299621582
ALL,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,MYSQL,60.34517288208008,40.42673110961914
ALL,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,SQLSERVER,21.308183670043945,21.308183670043945
ALL,SKLEARN,303,BATCH_MODE,MYSQL,HEART_DISEASE,MYSQL,101.22394561767578,61.387062072753906
ALL,SKLEARN,303,BATCH_MODE,SQLSERVER,HEART_DISEASE,SQLSERVER,29.158353805541992,29.158353805541992
ALL,SKLEARN,303,BATCH_MODE,CSV,HEART_DISEASE,CSV,0.0,7.802009582519531
