batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100,SKLEARN,100199,BATCH,CSV,TAXI_FARE,NO_OUTPUT,0,20777.05955505371
100,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CONSOLE,0,22010.935068130493
100,SKLEARN,100199,BATCH,CSV,TAXI_FARE,MYSQL,0,26838.702917099
100,SKLEARN,100199,BATCH,CSV,TAXI_FARE,SQLSERVER,0,20078.86815071106
100,SKLEARN,100199,BATCH,MYSQL,TAXI_FARE,MYSQL,0,39031.16416931152
100,SKLEARN,100199,BATCH,SQLSERVER,TAXI_FARE,SQLSERVER,0,31421.11325263977
100,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CSV,0,23245.738744735718
1000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,NO_OUTPUT,0,2296.414375305176
1000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CONSOLE,0,3862.772226333618
1000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,MYSQL,0,4061.0971450805664
1000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,SQLSERVER,0,2306.2939643859863
1000,SKLEARN,100199,BATCH,MYSQL,TAXI_FARE,MYSQL,0,6838.3965492248535
1000,SKLEARN,100199,BATCH,SQLSERVER,TAXI_FARE,SQLSERVER,0,4717.26655960083
1000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CSV,0,3236.421585083008
10000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,NO_OUTPUT,0,395.9991931915283
10000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CONSOLE,0,381.26230239868164
10000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,MYSQL,0,1755.9020519256592
10000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,SQLSERVER,0,364.9325370788574
10000,SKLEARN,100199,BATCH,MYSQL,TAXI_FARE,MYSQL,0,3604.550838470459
10000,SKLEARN,100199,BATCH,SQLSERVER,TAXI_FARE,SQLSERVER,0,2544.39640045166
10000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CSV,0,690.6049251556396
100000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,NO_OUTPUT,0,183.69507789611816
100000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CONSOLE,0,194.6125030517578
100000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,MYSQL,0,1402.8680324554443
100000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,SQLSERVER,0,160.85195541381836
100000,SKLEARN,100199,BATCH,MYSQL,TAXI_FARE,MYSQL,0,3113.4750843048096
100000,SKLEARN,100199,BATCH,SQLSERVER,TAXI_FARE,SQLSERVER,0,1995.44095993042
100000,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CSV,0,414.34359550476074
ALL,SKLEARN,100199,BATCH,CSV,TAXI_FARE,NO_OUTPUT,0,130.56707382202148
ALL,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CONSOLE,0,151.32999420166016
ALL,SKLEARN,100199,BATCH,CSV,TAXI_FARE,MYSQL,0,1415.4481887817383
ALL,SKLEARN,100199,BATCH,CSV,TAXI_FARE,SQLSERVER,0,139.62483406066895
ALL,SKLEARN,100199,BATCH,MYSQL,TAXI_FARE,MYSQL,0,3821.7782974243164
ALL,SKLEARN,100199,BATCH,SQLSERVER,TAXI_FARE,SQLSERVER,0,1955.7528495788574
ALL,SKLEARN,100199,BATCH,CSV,TAXI_FARE,CSV,0,386.17897033691406
